Common Name,Family,GenusSpecies,Genus,Category,Wmax,Ymax,Lmax,Lengthmax type,Ym,Lm,Favg,Loffspring,,,,,,,,,,,Region,Sources
Northern wolffish,Anarhichadidae,Anarhichas denticulatus,Anarhichas,Teleostei,20000,NA,180,TL,NA,NA,NA,NA,,,,,,,,,,,,
Short-finned eel,Anguillidae,Anguilla australis,Anguilla,Teleostei,7480,32,130,TL,9,NA,7500000,NA,,,,,,,,,,,,
North Pacific daggertooth,Anotopteridae,Anotopterus nikparini,Anotopterus,Teleostei,1650,NA,146,TL,NA,NA,NA,NA,,,,,,,,,,,,
Blue antimora,Moridae,Antimora rostrata,Antimora,Teleostei,3310,44,75,SL,17,42.20000013,NA,NA,,,,,,,,,,,,
Smooth lumpsucker,Cyclopteridae,Aptocyclus ventricosus,Aptocyclus,Teleostei,2300,NA,41,TL,NA,NA,NA,NA,,,,,,,,,,,,
Lovely hatchetfish,Sternoptychidae,Argyropelecus aculeatus,Argyropelecus,Teleostei,20.89999962,NA,8.300000191,SL,NA,NA,NA,NA,,,,,,,,,,,,
Richardson's snaggletooth,Stomiidae,Astronesthes richardsoni,Astronesthes,Teleostei,32.90000153,NA,17.20000076,SL,NA,NA,NA,NA,,,,,,,,,,,,
Frigate tuna,Scombridae,Auxis thazard,Auxis,Teleostei,1720,5,65,FL,NA,32,702833.3333,0.342999995,,,,,,,,,,,,
Mild meagre,Sciaenidae,Argyrosomus inodorus,Argyrosomus,Teleostei,36300,NA,145,TL,NA,NA,NA,NA,,,,,,,,,,,,
Japanese meagre,Sciaenidae,Argyrosomus japonicus,Argyrosomus,Teleostei,75000,NA,181,TL,6,58.33333333,971000,0.225,,,,,,,,,,,,
Meagre,Sciaenidae,Argyrosomus regius,Argyrosomus,Teleostei,103000,NA,230,TL,NA,80,NA,NA,,,,,,,,,,,,
Carpenter seabream,Sparidae,Argyrozona argyrozona,Argyrozona,Teleostei,3500,27,90,TL,6,26.10000038,1656000,NA,,,,,,,,,,,,
Australian herring,Arripidae,Arripis georgiana,Arripis,Teleostei,800,7,41,FL,2,NA,NA,NA,,,,,,,,,,,,
Australian salmon,Arripidae,Arripis trutta,Arripis,Teleostei,9400,26,89,TL,4,35.33333333,900384,NA,,,,,,,,,,,,
Western Australian salmon,Arripidae,Arripis truttacea,Arripis,Teleostei,10500,9,96,SL,3.5,54,NA,NA,,,,,,,,,,,,
Geelbeck croaker,Sciaenidae,Atractoscion aequidens,Atractoscion,Teleostei,25000,NA,130,TL,NA,58,NA,NA,,,,,,,,,,,,
Garfish,Belonidae,Belone belone,Belone,Teleostei,1418,NA,104,TL,2,45,19251.6,0.9,,,,,,,,,,,,
Vadigo,Carangidae,Campogramma glaycos,Campogramma,Teleostei,2800,NA,60,FL,NA,NA,NA,NA,,,,,,,,,,,,
Green jack,Carangidae,Caranx caballus,Caranx,Teleostei,2810,8,55,FL,1.300000012,17.64999962,NA,NA,,,,,,,,,,,,
Pacific crevalle jack,Carangidae,Caranx caninus,Caranx,Teleostei,17690,15,101,FL,NA,NA,NA,NA,,,,,,,,,,,,
Crevalle jack,Carangidae,Caranx hippos,Caranx,Teleostei,32000,NA,124,TL,NA,NA,NA,NA,,,,,,,,,,,,
Black jack,Carangidae,Caranx lugubris,Caranx,Teleostei,17940,NA,100,TL,NA,36.5,NA,NA,,,,,,,,,,,,
False scad,Carangidae,Caranx rhonchus,Caranx,Teleostei,1000,NA,60,TL,NA,20,735000,NA,,,,,,,,,,,,
Warming's lantern fish,Myctophidae,Ceratoscopelus warmingii,Ceratoscopelus,Teleostei,11.39999962,NA,10.19999981,TL,NA,4.725000024,NA,NA,,,,,,,,,,,,
Splendid alfonsino,Berycidae,Beryx splendens,Beryx,Teleostei,4000,23,70,TL,3,24.5,472500,NA,,,,,,,,,,,,
Atlantic pomfret,Bramidae,Brama brama,Brama,Teleostei,6000,9,100,TL,NA,NA,NA,0.480000019,,,,,,,,,,,,
Pacific pomfret,Bramidae,Brama japonica,Brama,Teleostei,2700,9,61,TL,NA,31,NA,NA,,,,,,,,,,,,
Redfish,Berycidae,Centroberyx affinis,Centroberyx,Teleostei,2000,NA,51,SL,4,20,NA,NA,,,,,,,,,,,,
Swordspine snook,Centropomidae,Centropomus ensiferus,Centropomus,Teleostei,1025,NA,36.20000076,TL,3,NA,1290000,NA,,,,,,,,,,,,
Tarpon snook,Centropomidae,Centropomus pectinatus,Centropomus,Teleostei,1507,NA,56,TL,NA,NA,NA,NA,,,,,,,,,,,,
Yellowfin snook,Centropomidae,Centropomus robalito,Centropomus,Teleostei,626,NA,37.40000153,SL,NA,NA,NA,NA,,,,,,,,,,,,
Pacific viperfish,Stomiidae,Chauliodus macouni,Chauliodus,Teleostei,23.35000038,8,29.29999924,TL,NA,NA,NA,NA,,,,,,,,,,,,
Atlantic bumper,Carangidae,Chloroscombrus chrysurus,Chloroscombrus,Teleostei,121,NA,65,TL,NA,10,NA,NA,,,,,,,,,,,,
Cisco,Salmonidae,Coregonus artedi,Coregonus,Teleostei,3350,11,57,TL,4.333333333,NA,21774.5,NA,,,,,,,,,,,,
Sardine cisco,Salmonidae,Coregonus sardinella,Coregonus,Teleostei,555,26,47,TL,3.6,NA,32350,NA,,,,,,,,,,,,
